Row,pointErrorDistMean,pointErrorDistMax,jaccardSimilarity
case-102480,1.36588654140995,3.37074717848404,0.773253068932956
case-102924,1.85201408886119,5.68485597465888,0.758264582011193
case-103559,2.01875955766725,4.90777434003189,0.756714346067958
case-103862,2.05879137886891,4.80735726642149,0.735394745336002
case-107215,2.20958536258088,6.60926273693659,0.739152276295133
case-107813,2.12556432702659,5.97442036384974,0.780324299547356
case-108421,1.92194545804458,5.32536095723114,0.758692971639951
case-112802,2.0983463317655,4.78106756629859,0.778517558331369
case-113033,2.65421766828624,6.04308270136142,0.743136023745648
case-116070,2.05018986653166,6.36537738715636,0.777956067061362
case-132433,2.00668718159115,6.46018561154222,0.765300660203414
case-132592,2.22872574963759,7.94412873308211,0.752584843692981
case-134434,1.84278638700737,5.55511480921335,0.772698041508331
case-135418,2.42078399927675,6.72692653123364,0.740806353084911
case-135881,1.98564187964903,5.87131074542566,0.767821491485614
case-136283,2.47298823184762,6.41572572093426,0.743022484779071
case-140368,1.69373283368061,4.89354435693285,0.750314228255405
case-140694,1.58391744879156,4.91262516009746,0.768577240636592
case-141682,2.00861457715722,4.43338803734972,0.74167198468411
case-144977,1.95795619121577,5.92030871762809,0.775072365060446
case-145250,1.94668611541613,5.76667292974646,0.76244209526072
case-146511,1.9389344899291,6.42314276101355,0.769111877303531
case-147211,2.15011034169375,5.10049368604633,0.767471557928953
case-149327,1.99720647618694,5.07599175905521,0.74754917265064
case-170206,2.35809259354549,6.02364056447168,0.720624274474397
case-174615,2.34101944878237,6.67288925287841,0.754357705804522
case-176087,1.98466105955001,4.68749852531117,0.763990554899646
case-181140,2.27118367031494,5.24566862415811,0.760043431053203
case-182401,1.89175599525144,5.70053831524023,0.764841805901173
case-184171,2.03914459161511,5.21688855750613,0.766790494722566
